year_decimal	gt	gt_err	year	month	eqe	eqe_err	eqe_min	eqe_max
1979.125	-0.578330537762	0.0449253053465	1979	2	3.548133892335761	0.0	0.0	0.0
1979.2083333333335	-0.338839550024	0.0447708330772	1979	3	1.4158915687682804e+19	4.988127663727244e+18	1.0023744672545511e+19	2e+19
1979.2916666666667	-0.342388282244	0.0446517696804	1979	4	1e+19	3.5229588011930476e+18	7.079457843841402e+18	1.4125375446227497e+19
1979.375	-0.335076519125	0.0453275132521	1979	5	3.548133892335761	0.0	0.0	0.0
1979.4583333333335	-0.336034970328	0.0446752904963	1979	6	3.548133892335761	0.0	0.0	0.0
1979.5416666666667	-0.367186170605	0.0440651896084	1979	7	3.548133892335761	0.0	0.0	0.0
1979.625	-0.281173055994	0.0435530120076	1979	8	3.548133892335761	0.0	0.0	0.0
1979.7083333333335	-0.150541318022	0.0429761301109	1979	9	3.548133892335761	0.0	0.0	0.0
1979.7916666666667	-0.183106735517	0.0424715663732	1979	10	3.548133892335761	0.0	0.0	0.0
1979.875	-0.155442500436	0.0433354035056	1979	11	7.079457843841402e+18	2.494063831863622e+18	5.011872336272756e+18	1e+19
1979.9583333333335	0.0725876860655	0.0459235204005	1979	12	3.548133892335761	0.0	0.0	0.0
1980.0416666666667	-0.0902157867217	0.0469512108124	1980	1	3.548133892335761	0.0	0.0	0.0
1980.125	-0.0222965710833	0.0466223463605	1980	2	3.548133892335761	0.0	0.0	0.0
1980.2083333333335	-0.123463944446	0.0471339314815	1980	3	3.548133892335761	0.0	0.0	0.0
1980.2916666666667	-0.0799750365941	0.0472921283054	1980	4	1.4125375446227612e+19	4.976311574844414e+18	1e+19	1.9952623149688828e+19
1980.375	-0.0964256733821	0.0476945127686	1980	5	3.548133892335761	0.0	0.0	0.0
1980.4583333333335	-0.219925000704	0.0471856790625	1980	6	3.548133892335761	0.0	0.0	0.0
1980.5416666666667	-0.142808202371	0.0467734239716	1980	7	7.079457843841402e+18	2.494063831863622e+18	5.011872336272756e+18	1e+19
1980.625	-0.211173532884	0.0463660194284	1980	8	3.548133892335761	0.0	0.0	0.0
1980.7083333333335	-0.196889929751	0.0459371420363	1980	9	3.548133892335761	0.0	0.0	0.0
1980.7916666666667	-0.297045803913	0.0454845769338	1980	10	7.079457843841402e+18	2.494063831863622e+18	5.011872336272756e+18	1e+19
1980.875	-0.113456641769	0.0450506364084	1980	11	3.548133892335761	0.0	0.0	0.0
1980.9583333333335	-0.236013501874	0.0446254335938	1980	12	3.548133892335761	0.0	0.0	0.0
1981.0416666666667	0.0561765170878	0.0442511971907	1981	1	3.548133892335761	0.0	0.0	0.0
1981.125	-0.0974984466945	0.044056761651	1981	2	3.548133892335761	0.0	0.0	0.0
1981.2083333333335	-0.0543911733202	0.0445419219831	1981	3	3.548133892335761	0.0	0.0	0.0
1981.2916666666667	-0.176558622066	0.0442442445392	1981	4	4.2309204758872334e+19	1.4905358527674845e+19	2.9952623149688988e+19	5.976334020503868e+19
1981.375	-0.164738490144	0.0439849013438	1981	5	3.548133892335761	0.0	0.0	0.0
1981.4583333333335	-0.133165970323	0.04369886015	1981	6	2e+19	7.045917602386095e+18	1.4158915687682804e+19	2.8250750892454994e+19
1981.5416666666667	-0.117766537248	0.0433541099318	1981	7	1.6768417534424475e+20	5.907444413498065e+19	1.1871130504288905e+20	2.3686019331285035e+20
1981.625	-0.0215089693708	0.0432961756067	1981	8	3.548133892335761	0.0	0.0	0.0
1981.7083333333335	-0.166708055562	0.0434296656065	1981	9	3.2622776601683794e+20	1.1492869794825655e+20	2.3095157170067607e+20	4.608089675971892e+20
1981.7916666666667	-0.270828786815	0.0431650427974	1981	10	2.7777062252015033e+20	9.785744593202417e+19	1.9664654123889872e+20	3.9236143310294706e+20
1981.875	-0.204759926299	0.0431403799744	1981	11	6.396963274303265e+19	2.2536238068115382e+19	4.528703182903163e+19	9.03595079652624e+19
1981.9583333333335	0.0500080793472	0.0434975180137	1981	12	3.548133892335761	0.0	0.0	0.0
1982.0416666666667	-0.355653434582	0.0430716937574	1982	1	1.93803408453797e+20	6.8276142351351865e+19	1.3720230601414276e+20	2.7375459071684647e+20
1982.125	-0.341028486111	0.0405873749676	1982	2	3.548133892335761	0.0	0.0	0.0
1982.2083333333335	-0.520389761067	0.0392856674734	1982	3	3.548133892335761	0.0	0.0	0.0
1982.2916666666667	-0.345784251743	0.0375991901495	1982	4	3.548133892335761	0.0	0.0	0.0
1982.375	-0.227029931815	0.0365162458074	1982	5	3.548133892335761	0.0	0.0	0.0
1982.4583333333335	-0.340802223995	0.0362343388631	1982	6	1e+19	3.5229588011930476e+18	7.079457843841402e+18	1.4125375446227497e+19
1982.5416666666667	-0.264605770606	0.0363220071038	1982	7	3.548133892335761	0.0	0.0	0.0
1982.625	-0.428758710804	0.0363524934802	1982	8	3.548133892335761	0.0	0.0	0.0
1982.7083333333335	-0.273847470132	0.0359737396774	1982	9	7.079457843841402e+18	2.494063831863622e+18	5.011872336272756e+18	1e+19
1982.7916666666667	-0.195287977901	0.0352423154499	1982	10	3.548133892335761	0.0	0.0	0.0
1982.875	-0.278142026051	0.0351741867216	1982	11	3.548133892335761	0.0	0.0	0.0
1982.9583333333335	-0.0166260546644	0.0347343619477	1982	12	3.548133892335761	0.0	0.0	0.0
1983.0416666666667	0.0710015467459	0.0341581606688	1983	1	3.548133892335761	0.0	0.0	0.0
1983.125	-0.0358851043054	0.0341156212835	1983	2	2.1204833290069012e+19	7.470375406708036e+18	1.5011872336272757e+19	2.9952623149688828e+19
