gt_interval_count	gtdt	gtdt_err	eqe_tot	eqe_min_tot	eqe_max_tot	eqedt	eqedt_min	eqedt_max
2	-0.9171700877860001	0.0446517696804	1.4158915687682804e+19	1.0023744672545511e+19	2e+19	-1.4158915687682804e+19	-2e+19	-1.0023744672545511e+19
1	-0.342388282244	0.0453275132521	1e+19	7.079457843841402e+18	1.4125375446227497e+19	4.1589156876828037e+18	-4.1016307736819855e+18	1.29205421561586e+19
1	-0.335076519125	0.0446752904963	3.548133892335761	0.0	0.0	1e+19	7.079457843841402e+18	1.4125375446227497e+19
2	-0.703221140933	0.0435530120076	7.096267784671522	0.0	0.0	-3.548133892335761	0.0	0.0
2	-0.431714374016	0.0424715663732	7.096267784671522	0.0	0.0	0.0	0.0	0.0
1	-0.183106735517	0.0433354035056	3.548133892335761	0.0	0.0	3.548133892335761	0.0	0.0
2	-0.08285481437049999	0.0469512108124	7.079457843841402e+18	5.011872336272756e+18	1e+19	-7.079457843841402e+18	-1e+19	-5.011872336272756e+18
1	-0.0902157867217	0.0466223463605	3.548133892335761	0.0	0.0	7.079457843841402e+18	5.011872336272756e+18	1e+19
1	-0.0222965710833	0.0471339314815	3.548133892335761	0.0	0.0	0.0	0.0	0.0
1	-0.123463944446	0.0472921283054	3.548133892335761	0.0	0.0	0.0	0.0	0.0
1	-0.0799750365941	0.0476945127686	1.4125375446227612e+19	1e+19	1.9952623149688828e+19	-1.4125375446227612e+19	-1.9952623149688828e+19	-1e+19
2	-0.3163506740861	0.0467734239716	7.096267784671522	0.0	0.0	1.4125375446227612e+19	1e+19	1.9952623149688828e+19
1	-0.142808202371	0.0463660194284	7.079457843841402e+18	5.011872336272756e+18	1e+19	-7.079457843841402e+18	-1e+19	-5.011872336272756e+18
1	-0.211173532884	0.0459371420363	3.548133892335761	0.0	0.0	7.079457843841402e+18	5.011872336272756e+18	1e+19
1	-0.196889929751	0.0454845769338	3.548133892335761	0.0	0.0	0.0	0.0	0.0
1	-0.297045803913	0.0450506364084	7.079457843841402e+18	5.011872336272756e+18	1e+19	-7.079457843841402e+18	-1e+19	-5.011872336272756e+18
1	-0.113456641769	0.0446254335938	3.548133892335761	0.0	0.0	7.079457843841402e+18	5.011872336272756e+18	1e+19
1	-0.236013501874	0.0442511971907	3.548133892335761	0.0	0.0	0.0	0.0	0.0
1	0.0561765170878	0.044056761651	3.548133892335761	0.0	0.0	0.0	0.0	0.0
1	-0.0974984466945	0.0445419219831	3.548133892335761	0.0	0.0	0.0	0.0	0.0
1	-0.0543911733202	0.0442442445392	3.548133892335761	0.0	0.0	0.0	0.0	0.0
1	-0.176558622066	0.0439849013438	4.2309204758872334e+19	2.9952623149688988e+19	5.976334020503868e+19	-4.2309204758872334e+19	-5.976334020503868e+19	-2.9952623149688988e+19
4	-0.43717996708580004	0.0434296656065	1.8768417534424475e+20	1.3287022073057185e+20	2.6511094420530535e+20	-1.4537497058537243e+20	-2.3515832105561637e+20	-7.310688052553317e+19
2	-0.43753684237699997	0.0431403799744	6.039983885369883e+20	4.275981129395748e+20	8.531704007001362e+20	-4.163142131927435e+20	-7.203001799695643e+20	-1.6248716873426947e+20
2	-0.1547518469518	0.0430716937574	6.396963274303265e+19	4.528703182903163e+19	9.03595079652624e+19	5.4002875579395565e+20	3.372386049743124e+20	8.078833688711045e+20
1	-0.355653434582	0.0405873749676	1.93803408453797e+20	1.3720230601414276e+20	2.7375459071684647e+20	-1.2983377571076434e+20	-2.2846755888781486e+20	-4.684279804888036e+19
1	-0.341028486111	0.0392856674734	3.548133892335761	0.0	0.0	1.93803408453797e+20	1.3720230601414276e+20	2.7375459071684647e+20
1	-0.520389761067	0.0375991901495	3.548133892335761	0.0	0.0	0.0	0.0	0.0
2	-0.572814183558	0.0362343388631	7.096267784671522	0.0	0.0	-3.548133892335761	0.0	0.0
1	-0.340802223995	0.0363220071038	1e+19	7.079457843841402e+18	1.4125375446227497e+19	-1e+19	-1.4125375446227497e+19	-7.079457843841402e+18
1	-0.264605770606	0.0363524934802	3.548133892335761	0.0	0.0	1e+19	7.079457843841402e+18	1.4125375446227497e+19
1	-0.428758710804	0.0359737396774	3.548133892335761	0.0	0.0	0.0	0.0	0.0
2	-0.469135448033	0.0351741867216	7.079457843841402e+18	5.011872336272756e+18	1e+19	-7.079457843841402e+18	-1e+19	-5.011872336272756e+18
1	-0.278142026051	0.0347343619477	3.548133892335761	0.0	0.0	7.079457843841402e+18	5.011872336272756e+18	1e+19
2	0.05437549208149999	0.0341156212835	7.096267784671522	0.0	0.0	-3.548133892335761	0.0	0.0
3	-0.37154570205540005	0.0355023002014	1.0897824884795887e+20	7.715069186147793e+19	1.539358680449828e+20	-1.0897824884795887e+20	-1.539358680449828e+20	-7.715069186147793e+19
1	-0.0593085177885	0.0354733487068	1.9952623149688828e+19	1.4125375446227612e+19	2.8183829312644723e+19	8.902562569827004e+19	4.896686254883321e+19	1.398104925987552e+20
2	-0.412798244013	0.0355796579086	1.4125375446227612e+19	1e+19	1.9952623149688828e+19	5.827247703461216e+18	-5.827247703461216e+18	1.8183829312644723e+19
2	-0.1330896926684	0.0354992522773	1e+19	7.079457843841402e+18	1.4125375446227497e+19	4.1253754462276116e+18	-4.125375446227497e+18	1.2873165305847427e+19
1	-0.264112338649	0.0355272987779	7.079457843841402e+18	5.011872336272756e+18	1e+19	2.920542156158598e+18	-2.920542156158598e+18	9.113503109954741e+18
1	-0.0928328317013	0.0356852982291	2.6852906630662065e+20	1.9010402047638127e+20	3.7930738798059605e+20	-2.6144960846277925e+20	-3.742955156443233e+20	-1.8010402047638127e+20
3	-0.674769075802	0.0350803028168	4.427370884953127e+20	3.1343385539076424e+20	6.253827598965941e+20	-1.7420802218869205e+20	-4.352787394202129e+20	6.5873532589831815e+19
1	-0.226535959297	0.0353958424415	3.1050188173165874e+20	2.1981849821527068e+20	4.38595565621982e+20	1.3223520676365396e+20	-1.2516171023121777e+20	4.0556426168132344e+20
1	-0.32284030181	0.0345883958152	3.548133892335761	0.0	0.0	3.1050188173165874e+20	2.1981849821527068e+20	4.38595565621982e+20
1	-0.0163855840888	0.0345985058566	3.548133892335761	0.0	0.0	0.0	0.0	0.0
1	-0.384684281109	0.0347037467188	3.548133892335761	0.0	0.0	0.0	0.0	0.0
3	-0.759786383908	0.0349660619964	1e+19	7.079457843841402e+18	1.4125375446227497e+19	-1e+19	-1.4125375446227497e+19	-7.079457843841402e+18
3	-1.233439009888	0.02924086149	1.4158915687682804e+19	1.0023744672545511e+19	2e+19	-4.1589156876828037e+18	-1.29205421561586e+19	4.1016307736819855e+18
1	-0.207518297973	0.0295444250188	2.8183829312644723e+19	1.9952623149688988e+19	3.981071705534985e+19	-1.4024913624961919e+19	-2.9786972382804337e+19	47376850311012350.0
1	-0.483309029184	0.0283724538303	3.548133892335761	0.0	0.0	2.8183829312644723e+19	1.9952623149688988e+19	3.981071705534985e+19
1	-0.341074730421	0.0276984036993	2.762817804369727e+20	1.955925217624993e+20	3.9025838776244306e+20	-2.762817804369727e+20	-3.9025838776244306e+20	-1.955925217624993e+20
1	-0.360944025011	0.0265972160119	1.6613371542696965e+20	1.176136634805971e+20	2.3467011046826633e+20	1.1014806501000305e+20	-3.907758870576703e+19	2.7264472428184594e+20
2	-0.5846024471569999	0.0265706126811	1.2771711460633895e+20	9.041679287926322e+19	1.8040521947234035e+20	3.84166008206307e+19	-6.279155599174325e+19	1.4425331758900311e+20
1	-0.390589702582	0.0264677771656	2.5966697801687918e+20	1.838301424308188e+20	3.6678935554757467e+20	-1.3194986341054023e+20	-2.7637256266831145e+20	-3.4249229584784425e+18
1	-0.270143756742	0.0264244460412	2.412537544622761e+19	1.70794578438414e+19	3.4077998595916325e+19	2.3554160257065157e+20	1.4975214383490246e+20	3.4970989770373326e+20
3	-0.943613702563	0.0273584774003	5.480820217901804e+20	3.8801235682309446e+20	7.74186433311374e+20	-5.2395664634395276e+20	-7.571069754675327e+20	-3.5393435822717816e+20
3	-0.631266015272	0.0259593660751	1.5773155219455594e+20	1.1166538744050283e+20	2.2280173944643315e+20	3.9035046959562444e+20	1.652106173766613e+20	6.625210458708712e+20
1	-0.252698204014	0.0258406111527	1.70794578438414e+19	1.2091330180114158e+19	2.4125375446227497e+19	1.4065209435071454e+20	8.754001199427533e+19	2.10710409266319e+20
2	-0.39665489484600003	0.0255352933695	1.1674804434825773e+20	8.265128583144171e+19	1.6491099590319656e+20	-9.966858650441633e+19	-1.528196657230824e+20	-5.852591038521421e+19
4	-1.168256784185	0.0257714252837	3.77512329943147e+20	2.672582625362855e+20	5.3325033960270646e+20	-2.607642855948893e+20	-4.5059905377126475e+20	-1.0234726663308893e+20
2	-0.550098449562	0.0256479363877	4.354594059091485e+20	3.082816506838035e+20	6.151027600057915e+20	-5.794707596600148e+19	-3.4784449746950606e+20	2.24968688918903e+20
1	-0.295361630121	0.0256560188136	2.1238373531524207e+19	1.5035617008818266e+19	3e+19	4.142210323776243e+20	2.7828165068380347e+20	6.000671429969732e+20
2	-0.34604806819	0.0245963134462	3.012452579284706e+20	2.1326531041617373e+20	4.2552023696353106e+20	-2.8000688439694642e+20	-4.104846199547128e+20	-1.8326531041617373e+20
1	-0.297445961092	0.0247475400906	3.7603848307218776e+20	2.662148588571622e+20	5.311684755624516e+20	-7.479322514371713e+19	-3.179031651462779e+20	1.5930537810636885e+20
4	-0.5997433146566	0.0247981753541	2.1081087330711175e+20	1.4924266906010858e+20	2.977782733610059e+20	1.65227609765076e+20	-3.1563414503843693e+19	3.81925806502343e+20
1	-0.203110670866	0.0248009278347	9.651228131626993e+19	6.832546269914907e+19	1.3632722087642402e+20	1.1429859199084182e+20	1.2915448183684563e+19	2.2945281066185684e+20
1	-0.0544907176994	0.0248050745511	5.115745643975785e+19	3.621670562634177e+19	7.226182790856106e+19	4.535482487651208e+19	-3.9363652094119936e+18	1.0011051525008225e+20
2	-0.36042884561599997	0.0250184311648	9.100309791919231e+20	6.442525953778928e+20	1.2854529248784045e+21	-8.588735227521652e+20	-1.2492362192520626e+21	-5.719907674693317e+20
2	0.07364642687800001	0.0250468220544	7.101555034541887e+19	5.027515949275888e+19	1.0031213111495123e+20	8.390154288465042e+20	5.439404642629415e+20	1.2351777653856456e+21
1	-0.0818610864997	0.0242216076232	2.009833281189041e+20	1.4228529987327202e+20	2.8389649681118544e+20	-1.2996777777348523e+20	-2.3362133731842654e+20	-4.197316875832079e+19
2	-0.0343174233938	0.0228692790928	1.6159050803291026e+20	1.1439731895839028e+20	2.2825265945115106e+20	3.939282008599383e+19	-8.596735957787904e+19	1.6949917785279516e+20
1	-0.0317164926134	0.0228563993113	3.818382931264473e+19	2.703208099353039e+19	5.393609250157735e+19	1.2340667872026554e+20	6.046122645681293e+19	2.0122057845762068e+20
1	-0.0199299712829	0.0227223097055	3.412537544622761e+19	2.41589156876828e+19	4.820337404214382e+19	4.058453866417115e+18	-2.117129304861343e+19	2.977717681389455e+19
1	-0.135442600506	0.0228539690842	9.806146794780508e+19	6.942220284416893e+19	1.3851550515709506e+20	-6.3936092501577466e+19	-1.1435658946941226e+20	-2.121882880202511e+19
1	-0.0346379710483	0.0228406637595	1.49290692921495e+20	1.0568971670155914e+20	2.108787088143582e+20	-5.122922497368991e+19	-1.4145650597018925e+20	3.282578845553592e+19
3	-0.3558915265418	0.0222000240145	4.808089675971929e+20	3.4038668170452074e+20	6.79160718522338e+20	-3.315182746756979e+20	-5.7347100182077886e+20	-1.2950797289016256e+20
1	-0.12362585914	0.0226637989832	3.548133892335761	0.0	0.0	4.808089675971929e+20	3.4038668170452074e+20	6.79160718522338e+20
1	-0.418960459294	0.0227370422155	1.70794578438414e+19	1.2091330180114158e+19	2.4125375446227497e+19	-1.70794578438414e+19	-2.4125375446227497e+19	-1.2091330180114158e+19
1	-0.143107723503	0.0215635424232	8.326621351256513e+19	5.894796483785022e+19	1.1761665278507262e+20	-6.618675566872373e+19	-1.0552532260495847e+20	-3.482258939162272e+19
1	-0.20847554172	0.0204121441745	2.8183829312644723e+19	1.9952623149688988e+19	3.981071705534985e+19	5.50823841999204e+19	1.913724778250037e+19	9.766402963538362e+19
1	-0.185389753887	0.0207654476063	1.4125375446227612e+19	1e+19	1.9952623149688828e+19	1.4058453866417111e+19	159744.0	2.981071705534985e+19
1	-0.311756669232	0.0207510037953	1.8380427502439613e+21	1.301234616553044e+21	2.596304393341252e+21	-1.8239173747977337e+21	-2.586304393341252e+21	-1.281281993403355e+21
4	-0.6087065582597	0.0200028697829	9.808117158040429e+19	6.943615194780476e+19	1.3854333727790714e+20	1.739961578663557e+21	1.1626912792751368e+21	2.5268682413934473e+21
2	-0.3818768325992	0.0203573998707	1.6856950405548596e+20	1.193380697718065e+20	2.381107533568121e+20	-7.048833247508167e+19	-1.6867460140900732e+20	1.9205267506100634e+19
